"Laikotarpis","Rodiklis","Amžius (tikslinės amžiaus grupės)","Gyvenamoji vietovė","Lytis","Matavimo vienetai","Reikšmė"
"2008","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","6.0"
"2009","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","17.1"
"2010","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","21.2"
"2011","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","17.9"
"2012","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","15.2"
"2013","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","13.1"
"2014","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","12.2"
"2015","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","10.1"
"2016","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","9.1"
"2017","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","8.6"
"2018","Nedarbo lygis","15–74","Miestas ir kaimas","Vyrai","proc.","6.9"
"1998","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","14.3"
"1999","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","15.8"
"2000","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","18.2"
"2001","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","19.7"
"2002","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","14.4"
"2003","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","12.4"
"2004","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","10.3"
"2005","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","8.1"
"2006","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","5.9"
"2007","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","4.1"
"2008","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","5.9"
"2009","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","16.9"
"2010","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","21.2"
"2011","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","17.9"
"2012","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","15.3"
"2013","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","13.2"
"2014","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","12.3"
"2015","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","10.2"
"2016","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","9.2"
"2017","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","8.7"
"2018","Nedarbo lygis","20–64","Miestas ir kaimas","Vyrai","proc.","7.0"
"1998","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","14.1"
"1999","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","15.3"
"2000","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","17.7"
"2001","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","18.4"
"2002","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","13.8"
"2003","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","11.8"
"2004","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","9.5"
"2005","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","7.4"
"2006","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","5.4"
"2007","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","3.9"
"2008","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","5.4"
"2009","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","15.7"
"2010","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","20.0"
"2011","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","16.5"
"2012","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","14.1"
"2013","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","11.9"
"2014","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","11.1"
"2015","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","9.5"
"2016","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","8.4"
"2017","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","8.1"
"2018","Nedarbo lygis","25–54","Miestas ir kaimas","Vyrai","proc.","6.4"
"1998","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","6.8"
"1999","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","7.9"
"2000","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","13.4"
"2001","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","16.7"
"2002","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","14.0"
"2003","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","11.0"
"2004","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","8.9"
"2005","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","7.3"
"2006","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","7.2"
"2007","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","4.1"
"2008","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","4.3"
"2009","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","12.4"
"2010","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","16.9"
"2011","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","15.9"
"2012","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","13.5"
"2013","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","13.9"
"2014","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","13.8"
"2015","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","10.6"
"2016","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","9.2"
"2017","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","8.4"
"2018","Nedarbo lygis","55–64","Miestas ir kaimas","Vyrai","proc.","7.5"
"1998","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"1999","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2000","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2001","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2002","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2003","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2004","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2005","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2006","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2007","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2008","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2009","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2010","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2011","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2012","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2013","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2014","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2015","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2016","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2017","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"2018","Nedarbo lygis","65+","Miestas ir kaimas","Vyrai","proc.",
"1998","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","11.6"
"1999","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","13.0"
"2000","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","13.9"
"2001","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","14.7"
"2002","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","12.9"
"2003","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","12.2"
"2004","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","11.3"
"2005","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","8.5"
"2006","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","5.6"
"2007","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","4.3"
"2008","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","5.6"
"2009","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","10.5"
"2010","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","14.5"
"2011","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","12.9"
"2012","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","11.6"
"2013","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","10.5"
"2014","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","9.2"
"2015","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","8.2"
"2016","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","6.7"
"2017","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","5.7"
"2018","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas ir kaimas","Moterys","proc.","5.4"
"1998","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","19.3"
"1999","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","24.1"
"2000","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","27.4"
"2001","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","24.1"
"2002","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","22.9"
"2003","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","28.1"
"2004","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","22.2"
"2005","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","15.5"
"2006","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","10.0"
"2007","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","10.4"
"2008","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","13.9"
"2009","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","22.4"
"2010","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","31.6"
"2011","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","29.4"
"2012","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","22.7"
"2013","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","20.4"
"2014","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","18.7"
"2015","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","16.6"
"2016","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","12.6"
"2017","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","11.7"
"2018","Nedarbo lygis","15–24","Miestas ir kaimas","Moterys","proc.","10.1"
"1998","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","15.0"
"1999","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","18.5"
"2000","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","17.8"
"2001","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","18.2"
"2002","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","16.3"
"2003","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","16.6"
"2004","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","13.6"
"2005","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","9.4"
"2006","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","6.6"
"2007","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","6.8"
"2008","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","8.8"
"2009","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","15.5"
"2010","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","22.0"
"2011","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","19.5"
"2012","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","16.9"
"2013","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","16.2"
"2014","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","13.6"
"2015","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","13.1"
"2016","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","9.0"
"2017","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","7.1"
"2018","Nedarbo lygis","15–29","Miestas ir kaimas","Moterys","proc.","6.2"
"1998","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","11.8"
"1999","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","13.2"
"2000","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","14.3"
"2001","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","14.9"
"2002","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","13.0"
"2003","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","12.2"
"2004","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","11.4"
"2005","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","8.6"
"2006","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","5.7"
"2007","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","4.4"
"2008","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","5.7"
"2009","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","10.7"
"2010","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","14.7"
"2011","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","13.2"
"2012","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","11.8"
"2013","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","10.6"
"2014","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","9.4"
"2015","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","8.4"
"2016","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","6.8"
"2017","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","5.9"
"2018","Nedarbo lygis","15–64","Miestas ir kaimas","Moterys","proc.","5.6"
"1998","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","11.6"
"1999","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","13.0"
"2000","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","14.0"
"2001","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","14.7"
"2002","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","12.9"
"2003","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","12.2"
"2004","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","11.3"
"2005","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","8.5"
"2006","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","5.6"
"2007","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","4.3"
"2008","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","5.6"
"2009","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","10.5"
"2010","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","14.5"
"2011","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","12.9"
"2012","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","11.6"
"2013","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","10.5"
"2014","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","9.2"
"2015","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","8.2"
"2016","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","6.7"
"2017","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","5.7"
"2018","Nedarbo lygis","15–74","Miestas ir kaimas","Moterys","proc.","5.4"
"1998","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","11.5"
"1999","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","12.8"
"2000","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","14.1"
"2001","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","14.7"
"2002","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","12.9"
"2003","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","11.8"
"2004","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","11.2"
"2005","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","8.5"
"2006","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","5.5"
"2007","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","4.3"
"2008","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","5.5"
"2009","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","10.4"
"2010","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","14.5"
"2011","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","13.0"
"2012","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","11.7"
"2013","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","10.6"
"2014","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","9.3"
"2015","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","8.3"
"2016","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","6.8"
"2017","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","5.8"
"2018","Nedarbo lygis","20–64","Miestas ir kaimas","Moterys","proc.","5.6"
"1998","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","11.4"
"1999","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","12.7"
"2000","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","13.5"
"2001","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","14.7"
"2002","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","12.6"
"2003","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","10.6"
"2004","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","10.6"
"2005","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","8.4"
"2006","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","5.3"
"2007","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","4.0"
"2008","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","5.0"
"2009","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","9.8"
"2010","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","13.5"
"2011","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","12.1"
"2012","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","11.1"
"2013","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","10.1"
"2014","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","8.8"
"2015","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","7.8"
"2016","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","6.4"
"2017","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","5.1"
"2018","Nedarbo lygis","25–54","Miestas ir kaimas","Moterys","proc.","4.7"
"1998","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","6.2"
"1999","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","2.9"
"2000","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","8.0"
"2001","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","8.6"
"2002","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","8.2"
"2003","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","12.0"
"2004","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","10.7"
"2005","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","6.5"
"2006","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","5.1"
"2007","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","3.4"
"2008","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","4.6"
"2009","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","8.8"
"2010","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","12.1"
"2011","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","11.0"
"2012","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","10.5"
"2013","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","8.7"
"2014","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","7.9"
"2015","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","7.1"
"2016","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","6.5"
"2017","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","6.4"
"2018","Nedarbo lygis","55–64","Miestas ir kaimas","Moterys","proc.","6.9"
"1998","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"1999","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2000","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2001","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2002","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2003","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.","8.9"
"2004","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2005","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2006","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2007","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2008","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2009","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2010","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2011","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2012","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2013","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2014","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2015","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2016","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2017","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"2018","Nedarbo lygis","65+","Miestas ir kaimas","Moterys","proc.",
"1998","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","14.3"
"1999","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","16.9"
"2000","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","17.7"
"2001","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","18.6"
"2002","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","15.4"
"2003","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","13.6"
"2004","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","11.5"
"2005","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","8.7"
"2006","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","5.5"
"2007","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","4.1"
"2008","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","5.7"
"2009","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","12.6"
"2010","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","15.9"
"2011","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","12.9"
"2012","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","10.7"
"2013","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","9.5"
"2014","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","8.4"
"2015","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","6.9"
"2016","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","5.9"
"2017","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","5.4"
"2018","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai ir moterys","proc.","4.8"
"1998","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","25.0"
"1999","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","30.5"
"2000","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","29.9"
"2001","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","30.7"
"2002","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","24.6"
"2003","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","27.8"
"2004","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","22.6"
"2005","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","16.3"
